Date,Company,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-01-02,Samsung Electronics,005930.KS,52700.0,53600.0,52300.0,53400.0,52272.52734375,16630538.0
2025-01-03,Samsung Electronics,005930.KS,52800.0,55100.0,52800.0,54400.0,53251.41796875,19318046.0
2025-01-06,Samsung Electronics,005930.KS,54400.0,56200.0,54300.0,55900.0,54719.74609375,19034284.0
2025-01-07,Samsung Electronics,005930.KS,56800.0,57300.0,55400.0,55400.0,54230.30078125,17030235.0
2025-01-08,Samsung Electronics,005930.KS,54800.0,57500.0,54700.0,57300.0,56090.18359375,26593553.0
2025-01-09,Samsung Electronics,005930.KS,57600.0,57700.0,56100.0,56100.0,54915.5234375,24490592.0
2025-01-10,Samsung Electronics,005930.KS,56100.0,56500.0,55200.0,55300.0,54132.41015625,16059223.0
2025-01-13,Samsung Electronics,005930.KS,54600.0,55000.0,54100.0,54100.0,52957.75,16868600.0
2025-01-14,Samsung Electronics,005930.KS,54200.0,54600.0,53700.0,53900.0,52761.96875,17465926.0
2025-01-15,Samsung Electronics,005930.KS,54100.0,54700.0,53500.0,53700.0,52566.1953125,18625025.0
2025-01-16,Samsung Electronics,005930.KS,54200.0,55000.0,54100.0,54300.0,53153.5234375,18627298.0
2025-01-17,Samsung Electronics,005930.KS,53800.0,54100.0,53200.0,53700.0,52566.1953125,18805344.0
2025-01-20,Samsung Electronics,005930.KS,53600.0,53900.0,53300.0,53400.0,52272.52734375,11822531.0
2025-01-21,Samsung Electronics,005930.KS,53700.0,54300.0,53300.0,53500.0,52370.41796875,13535702.0
2025-01-22,Samsung Electronics,005930.KS,53400.0,54400.0,53100.0,54300.0,53153.5234375,18341991.0
2025-01-23,Samsung Electronics,005930.KS,53700.0,54100.0,53500.0,53700.0,52566.1953125,15588067.0
2025-01-24,Samsung Electronics,005930.KS,53600.0,53800.0,53200.0,53700.0,52566.1953125,11867631.0
2025-01-31,Samsung Electronics,005930.KS,52200.0,53000.0,51700.0,52400.0,51293.64453125,42186279.0
2025-02-03,Samsung Electronics,005930.KS,51100.0,51400.0,50800.0,51000.0,49923.20703125,32344897.0
2025-02-04,Samsung Electronics,005930.KS,51600.0,53600.0,51500.0,52700.0,51587.30859375,27214851.0
2025-02-05,Samsung Electronics,005930.KS,53600.0,53800.0,52800.0,52900.0,51783.0859375,15974885.0
2025-02-06,Samsung Electronics,005930.KS,53400.0,54000.0,53200.0,54000.0,52859.86328125,16466025.0
2025-02-07,Samsung Electronics,005930.KS,53900.0,54200.0,53600.0,53700.0,52566.1953125,14476866.0
2025-02-10,Samsung Electronics,005930.KS,53000.0,55900.0,52900.0,55600.0,54426.078125,27577591.0
2025-02-11,Samsung Electronics,005930.KS,55500.0,56300.0,55000.0,55700.0,54523.96875,24596196.0
2025-02-12,Samsung Electronics,005930.KS,55100.0,55900.0,54500.0,55800.0,54621.85546875,26428596.0
2025-02-13,Samsung Electronics,005930.KS,56100.0,56400.0,55600.0,55800.0,54621.85546875,22448377.0
2025-02-14,Samsung Electronics,005930.KS,56000.0,57300.0,56000.0,56000.0,54817.6328125,23979779.0
2025-02-17,Samsung Electronics,005930.KS,56100.0,56500.0,55700.0,56000.0,54817.6328125,11916027.0
2025-02-18,Samsung Electronics,005930.KS,56200.0,57200.0,55900.0,56900.0,55698.6328125,22131007.0
2025-02-19,Samsung Electronics,005930.KS,57400.0,58900.0,57300.0,58700.0,57460.625,25395151.0
2025-02-20,Samsung Electronics,005930.KS,59100.0,59100.0,58100.0,58400.0,57166.9609375,21589059.0
2025-02-21,Samsung Electronics,005930.KS,58400.0,58500.0,57100.0,58200.0,56971.18359375,22198428.0
2025-02-24,Samsung Electronics,005930.KS,57300.0,57700.0,57200.0,57300.0,56090.18359375,14138471.0
2025-02-25,Samsung Electronics,005930.KS,56600.0,57800.0,56500.0,57200.0,55992.30078125,14625181.0
2025-02-26,Samsung Electronics,005930.KS,57000.0,57100.0,56100.0,56600.0,55404.96484375,18117091.0
2025-02-27,Samsung Electronics,005930.KS,56500.0,57100.0,56200.0,56300.0,55111.30078125,14975356.0
2025-02-28,Samsung Electronics,005930.KS,55400.0,55700.0,54500.0,54500.0,53349.3046875,28036698.0
2025-03-04,Samsung Electronics,005930.KS,53900.0,55000.0,53800.0,54500.0,53349.3046875,18553933.0
2025-03-05,Samsung Electronics,005930.KS,55100.0,55400.0,54000.0,54000.0,52859.86328125,16578817.0
2025-03-06,Samsung Electronics,005930.KS,54100.0,54500.0,54000.0,54300.0,53153.5234375,12258101.0
2025-03-07,Samsung Electronics,005930.KS,53500.0,54200.0,53400.0,53700.0,52566.1953125,14274992.0
2025-03-10,Samsung Electronics,005930.KS,53500.0,54800.0,53500.0,53700.0,52566.1953125,12921670.0
2025-03-11,Samsung Electronics,005930.KS,52500.0,54100.0,52500.0,53600.0,52468.3046875,17740891.0
2025-03-12,Samsung Electronics,005930.KS,53800.0,55300.0,53600.0,54900.0,53740.859375,17973221.0
2025-03-13,Samsung Electronics,005930.KS,55800.0,55900.0,54200.0,54700.0,53545.08203125,24132151.0
2025-03-14,Samsung Electronics,005930.KS,54500.0,55100.0,54400.0,54700.0,53545.08203125,10845154.0
2025-03-17,Samsung Electronics,005930.KS,55500.0,57800.0,55400.0,57600.0,56383.8515625,35559021.0
2025-03-18,Samsung Electronics,005930.KS,58800.0,59000.0,57300.0,57600.0,56383.8515625,28138594.0
2025-03-19,Samsung Electronics,005930.KS,57400.0,59200.0,57400.0,58500.0,57264.84765625,29421759.0
2025-03-20,Samsung Electronics,005930.KS,59200.0,60300.0,58500.0,60200.0,58928.95703125,34989004.0
2025-03-21,Samsung Electronics,005930.KS,60900.0,61700.0,60400.0,61700.0,60397.28515625,40155612.0
2025-03-24,Samsung Electronics,005930.KS,61200.0,61600.0,60500.0,60500.0,59222.62109375,14088094.0
2025-03-25,Samsung Electronics,005930.KS,60900.0,61100.0,59500.0,59800.0,58537.3984375,17259455.0
2025-03-26,Samsung Electronics,005930.KS,59800.0,61400.0,59700.0,61400.0,60103.62109375,16431645.0
2025-03-27,Samsung Electronics,005930.KS,60900.0,62000.0,60800.0,61800.0,60495.17578125,20389790.0
2025-03-28,Samsung Electronics,005930.KS,60700.0,61100.0,60000.0,60200.0,59279.0703125,16282514.0
2025-03-31,Samsung Electronics,005930.KS,59500.0,59700.0,57800.0,57800.0,56915.78125,17633494.0
2025-04-01,Samsung Electronics,005930.KS,58700.0,59600.0,57900.0,58800.0,57900.48828125,13841706.0
2025-04-02,Samsung Electronics,005930.KS,58800.0,59400.0,58300.0,58800.0,57900.48828125,14402297.0
2025-04-03,Samsung Electronics,005930.KS,56900.0,57800.0,56900.0,57600.0,56718.84375,19508076.0
2025-04-04,Samsung Electronics,005930.KS,56200.0,58200.0,55700.0,56100.0,55241.7890625,23527139.0
2025-04-07,Samsung Electronics,005930.KS,53300.0,54100.0,53100.0,53200.0,52386.15234375,31998883.0
2025-04-08,Samsung Electronics,005930.KS,55000.0,55300.0,53300.0,53500.0,52681.5625,25532845.0
2025-04-09,Samsung Electronics,005930.KS,53300.0,54300.0,52900.0,53000.0,52189.21484375,20576960.0
2025-04-10,Samsung Electronics,005930.KS,56600.0,56700.0,55000.0,56400.0,55537.203125,22948172.0
2025-04-11,Samsung Electronics,005930.KS,55600.0,55700.0,54800.0,55200.0,54355.55859375,13930480.0
2025-04-14,Samsung Electronics,005930.KS,56300.0,56700.0,55800.0,56200.0,55340.2578125,12852613.0
2025-04-15,Samsung Electronics,005930.KS,56300.0,57100.0,56200.0,56600.0,55734.140625,8998640.0
2025-04-16,Samsung Electronics,005930.KS,56000.0,56200.0,54500.0,54700.0,53863.2109375,14437025.0
2025-04-17,Samsung Electronics,005930.KS,54700.0,55300.0,54500.0,55100.0,54257.0859375,10867069.0
2025-04-18,Samsung Electronics,005930.KS,55300.0,55600.0,54900.0,55300.0,54454.02734375,5848342.0
2025-04-21,Samsung Electronics,005930.KS,55200.0,56000.0,55100.0,55400.0,54552.5,5941847.0
2025-04-22,Samsung Electronics,005930.KS,54900.0,55500.0,54700.0,55000.0,54158.6171875,9532469.0
2025-04-23,Samsung Electronics,005930.KS,56000.0,56100.0,55500.0,55700.0,54847.9140625,11148692.0
2025-04-24,Samsung Electronics,005930.KS,55600.0,55800.0,55200.0,55700.0,54847.9140625,10580377.0
2025-04-25,Samsung Electronics,005930.KS,56400.0,56400.0,55600.0,55700.0,54847.9140625,12183303.0
2025-04-28,Samsung Electronics,005930.KS,55800.0,55900.0,55500.0,55800.0,54946.37890625,9341518.0
2025-04-29,Samsung Electronics,005930.KS,55700.0,56500.0,55600.0,55800.0,54946.37890625,10295518.0
2025-04-30,Samsung Electronics,005930.KS,55900.0,56000.0,55300.0,55500.0,54650.96875,13014189.0
2025-05-02,Samsung Electronics,005930.KS,55000.0,55500.0,54200.0,54300.0,53469.32421875,22454204.0
2025-05-07,Samsung Electronics,005930.KS,54500.0,55000.0,54300.0,54600.0,53764.734375,17136991.0
2025-05-08,Samsung Electronics,005930.KS,55100.0,55500.0,54500.0,54600.0,53764.734375,16320532.0
2025-05-09,Samsung Electronics,005930.KS,54700.0,55000.0,54400.0,54800.0,53961.67578125,7814322.0
2025-05-12,Samsung Electronics,005930.KS,55200.0,57600.0,55000.0,57600.0,56718.84375,15414702.0
2025-05-13,Samsung Electronics,005930.KS,57700.0,58200.0,56800.0,56900.0,56029.55078125,16842801.0
2025-05-14,Samsung Electronics,005930.KS,57500.0,57900.0,57000.0,57400.0,56521.90234375,12468089.0
2025-05-15,Samsung Electronics,005930.KS,57400.0,58600.0,57100.0,57300.0,56423.43359375,13139736.0
2025-05-16,Samsung Electronics,005930.KS,57400.0,57500.0,56700.0,56800.0,55931.08203125,10385352.0
2025-05-19,Samsung Electronics,005930.KS,56400.0,56400.0,55500.0,55800.0,54946.37890625,9802105.0
2025-05-20,Samsung Electronics,005930.KS,56200.0,56700.0,55700.0,55900.0,55044.84765625,9080577.0
2025-05-21,Samsung Electronics,005930.KS,56200.0,56600.0,55700.0,55700.0,54847.9140625,7794181.0
2025-05-22,Samsung Electronics,005930.KS,55300.0,55500.0,54500.0,54700.0,53863.2109375,15254278.0
2025-05-23,Samsung Electronics,005930.KS,55000.0,55200.0,54100.0,54200.0,53370.85546875,11247115.0
2025-05-26,Samsung Electronics,005930.KS,53900.0,55000.0,53700.0,54700.0,53863.2109375,10901337.0
2025-05-27,Samsung Electronics,005930.KS,54200.0,54500.0,53800.0,53900.0,53075.4453125,13439520.0
2025-05-28,Samsung Electronics,005930.KS,54300.0,56100.0,54200.0,55900.0,55044.84765625,17516283.0
2025-05-29,Samsung Electronics,005930.KS,56200.0,56400.0,55600.0,56100.0,55241.7890625,12936810.0
2025-05-30,Samsung Electronics,005930.KS,56200.0,57200.0,55800.0,56200.0,55340.2578125,26219683.0
2025-06-02,Samsung Electronics,005930.KS,56300.0,57300.0,56200.0,56800.0,55931.08203125,12870515.0
2025-06-04,Samsung Electronics,005930.KS,57200.0,57900.0,56800.0,57800.0,56915.78125,19649983.0
2025-06-05,Samsung Electronics,005930.KS,58100.0,59900.0,57900.0,59100.0,58195.89453125,23266027.0
2025-06-09,Samsung Electronics,005930.KS,60400.0,60400.0,59500.0,59800.0,58885.1875,19609659.0
2025-06-10,Samsung Electronics,005930.KS,60000.0,60100.0,58800.0,59200.0,58294.3671875,15305760.0
2025-06-11,Samsung Electronics,005930.KS,59500.0,60100.0,59400.0,59900.0,58983.65625,13610734.0
2025-06-12,Samsung Electronics,005930.KS,59700.0,60000.0,59300.0,59500.0,58589.77734375,17755115.0
2025-06-13,Samsung Electronics,005930.KS,60200.0,60200.0,57700.0,58300.0,57408.1328125,20705979.0
2025-06-16,Samsung Electronics,005930.KS,58000.0,58100.0,56900.0,57200.0,56324.9609375,22200872.0
2025-06-17,Samsung Electronics,005930.KS,57800.0,59800.0,57400.0,58100.0,57211.1953125,28637003.0
2025-06-18,Samsung Electronics,005930.KS,58000.0,59800.0,57900.0,59800.0,58885.1875,17620705.0
2025-06-19,Samsung Electronics,005930.KS,60500.0,60600.0,59000.0,59200.0,58294.3671875,16876278.0
2025-06-20,Samsung Electronics,005930.KS,59400.0,59800.0,59100.0,59500.0,58589.77734375,18072251.0
2025-06-23,Samsung Electronics,005930.KS,58400.0,58500.0,57600.0,58000.0,57112.72265625,16551694.0
2025-06-24,Samsung Electronics,005930.KS,59400.0,60600.0,59300.0,60500.0,59574.48046875,23737899.0
2025-06-25,Samsung Electronics,005930.KS,61500.0,61600.0,60300.0,61300.0,60362.2421875,23933612.0
2025-06-26,Samsung Electronics,005930.KS,61300.0,61300.0,59900.0,60200.0,59279.0703125,19402300.0
2025-06-27,Samsung Electronics,005930.KS,60100.0,61600.0,60000.0,60800.0,60237.1171875,17340470.0
2025-06-30,Samsung Electronics,005930.KS,61200.0,61200.0,59800.0,59800.0,59246.375,17110294.0
2025-07-01,Samsung Electronics,005930.KS,60400.0,61100.0,60200.0,60200.0,59642.671875,13650991.0
2025-07-02,Samsung Electronics,005930.KS,60200.0,60900.0,59800.0,60800.0,60237.1171875,15047951.0
2025-07-03,Samsung Electronics,005930.KS,61300.0,63800.0,61100.0,63800.0,63209.34375,32040639.0
2025-07-04,Samsung Electronics,005930.KS,64700.0,64700.0,63000.0,63300.0,62713.97265625,23748959.0
2025-07-07,Samsung Electronics,005930.KS,62900.0,63300.0,61700.0,61700.0,61128.78515625,17164708.0
2025-07-08,Samsung Electronics,005930.KS,61600.0,62400.0,61000.0,61400.0,60831.5625,20213724.0
2025-07-09,Samsung Electronics,005930.KS,61400.0,61400.0,60200.0,60400.0,59840.8203125,17533415.0
